Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Start-0,1391,47,0,240,23.65,0.000%,3.86406,37.29,1.78,9881.2
Start-0-0,1391,0,0,2,0.50,0.000%,3.86451,12.56,0.00,3326.8
Start-0-1,1391,0,0,8,0.52,0.000%,3.86451,12.58,0.00,3333.8
Start,1391,47,0,240,23.65,0.000%,3.86405,37.29,1.78,9881.2
Step1-0,1378,71,0,408,40.08,0.000%,3.84165,27.26,9.97,7266.7
Step1-0-0,1378,30,0,275,21.70,0.000%,3.84200,4.45,5.52,1187.0
Step1-0-1,1378,40,0,236,22.13,0.000%,3.84185,9.07,4.45,2418.6
Step1-0-2,1378,0,0,2,0.50,0.000%,3.84229,13.74,0.00,3661.1
Step1,1378,71,0,408,40.08,0.000%,3.84165,27.26,9.97,7266.7
Step2-0,1373,81,0,425,43.36,0.000%,3.83663,43.39,10.08,11582.0
Step2-0-0,1373,29,0,250,21.46,0.000%,3.83709,4.45,5.62,1187.0
Step2-0-1,1373,49,0,216,25.09,0.000%,3.83686,11.34,4.47,3026.4
Step2-0-2,1373,0,0,2,0.50,0.000%,3.83717,13.74,0.00,3666.5
Step2-0-3,1373,0,0,7,0.55,0.000%,3.83743,13.87,0.00,3702.2
Debug Order Values,1372,0,0,3,0.52,0.000%,3.83657,18.55,0.00,4951.3
Debug Order Values-0,1372,0,0,1,0.44,0.000%,3.83657,9.83,0.00,2624.1
Step2,1372,81,0,425,43.42,0.000%,3.83579,61.93,10.08,16533.2
EnterLargestValue-0,1363,66,0,508,39.51,0.000%,3.82086,26.48,10.62,7097.2
EnterLargestValue-0-0,1363,29,0,335,21.85,0.000%,3.82121,4.43,6.17,1187.0
EnterLargestValue-0-1,1363,36,0,184,20.74,0.000%,3.82108,7.63,4.45,2045.4
EnterLargestValue-0-2,1363,0,0,3,0.52,0.000%,3.82143,14.42,0.00,3864.8
EnterLargestValue,1363,66,0,508,39.51,0.000%,3.82086,26.48,10.62,7097.2
Step4-0,1357,65,0,425,37.63,0.000%,3.81658,27.53,11.27,7386.2
Step4-0-0,1357,30,0,266,20.74,0.000%,3.81687,4.42,6.82,1187.0
Step4-0-1,1357,34,0,200,19.64,0.000%,3.81677,8.03,4.45,2154.8
Step4-0-2,1357,0,0,6,0.53,0.000%,3.81703,15.08,0.00,4044.4
Step4-1,1357,28,0,168,17.45,0.000%,3.81684,16.57,4.05,4445.8
Step4-1-0,1357,0,0,2,0.50,0.000%,3.81722,12.55,0.00,3367.8
Step4,1357,93,0,536,51.84,0.000%,3.81627,44.10,15.31,11832.0
Step5-0,1347,62,0,396,42.80,0.000%,3.80210,25.60,10.06,6893.6
Step5-0-0,1347,31,0,244,25.31,0.000%,3.80234,4.39,5.63,1183.0
Step5-0-1,1347,30,0,200,19.95,0.000%,3.80229,7.27,4.42,1959.0
Step5-0-2,1347,0,0,8,0.55,0.000%,3.80259,13.93,0.00,3751.6
Step5,1347,62,0,396,42.80,0.000%,3.80210,25.60,10.06,6893.6
TOTAL,46484,35,0,536,39.42,0.000%,129.09963,638.07,166.04,5061.1
