timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
2018/07/17 09:54:21.098,1437,/v2/pet/findByStatus,200,OK,Thread Group 1-1,text,true,,194646,355,1,1,721,0,595
2018/07/17 09:54:19.096,1437,v2/pet/findByStatus(available),200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,194646,355,1,1,721,2003,595
2018/07/17 09:54:24.537,364,v2/pet/findByStatus,200,OK,Thread Group 1-1,text,true,,3096,353,1,1,364,0,245
2018/07/17 09:54:22.536,364,v2/pet/findByStatus (pending),200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,3096,353,1,1,364,2001,245
2018/07/17 09:54:26.903,368,v2/pet/findByStatus,200,OK,Thread Group 1-1,text,true,,2249,350,1,1,367,0,241
2018/07/17 09:54:24.902,368,v2/pet/findByStatus (sold),200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,2249,350,1,1,367,2001,241
2018/07/17 09:54:29.273,1083,/v2/pet/findByStatus,200,OK,Thread Group 1-1,text,true,,194646,355,1,1,370,0,243
2018/07/17 09:54:27.272,1083,v2/pet/findByStatus(available),200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,194646,355,1,1,370,2001,243
2018/07/17 09:54:32.357,339,v2/pet/findByStatus,200,OK,Thread Group 1-1,text,true,,3096,353,1,1,338,0,224
2018/07/17 09:54:30.357,339,v2/pet/findByStatus (pending),200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,3096,353,1,1,338,2001,224
2018/07/17 09:54:34.699,370,v2/pet/findByStatus,200,OK,Thread Group 1-1,text,true,,2249,350,1,1,370,0,245
2018/07/17 09:54:32.697,370,v2/pet/findByStatus (sold),200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,2249,350,1,1,370,2003,245
2018/07/17 09:54:37.071,1179,/v2/pet/findByStatus,200,OK,Thread Group 1-1,text,true,,194646,355,1,1,563,0,231
2018/07/17 09:54:35.070,1179,v2/pet/findByStatus(available),200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,194646,355,1,1,563,2001,231
2018/07/17 09:54:40.250,352,v2/pet/findByStatus,200,OK,Thread Group 1-1,text,true,,3096,353,1,1,352,0,235
2018/07/17 09:54:38.250,352,v2/pet/findByStatus (pending),200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,3096,353,1,1,352,2002,235
2018/07/17 09:54:40.603,0,v2/pet/findByStatus (sold),200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,0,1362,0
